Date,Year,Month,Site Region,Commissioning date (YYYY-MM),Planned Uptime (in %),Planned Energy from PV (in kWh),Planned Energy from Hydro (in kWh),Planned Energy from DG (in kWh),Planned Total Energy produced (in kWh),Planned Fuel Consumption (Liters),Expected Energy from PV (in kWh),Actual Irradiation (W/2),Actual Uptime (in %),Actual Energy from PV (kWh),Actual Energy from Hydro (kWh),Actual Energy from DG (kWh),Actual Total Energy produced (in kWh),Actual Fuel Consumption (Liters),Actual Energy Exported to DN (KWh),Actual REF (%),Actual UR (%),Actual Distribution losses (%),Actual Energy Consumption (kWh)
02/04/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,315",142.07,100.00%,119,0,0,119,0,30,100%,1%,-100%,
02/05/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,916",95.99,100.00%,122,0,0,122,0,40,100%,1%,-100%,
02/06/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,919",161.93,100.00%,202,0,0,202,0,1040,100%,19%,-100%,
02/07/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,743",254.90,100.00%,193,0,0,193,0,940,100%,18%,-100%,
02/08/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,849",258.39,100.00%,217,0,0,217,0,1220,100%,23%,-100%,
02/09/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,784",256.25,100.00%,196,0,0,196,0,1160,100%,22%,-100%,
02/10/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,628",284.06,100.00%,184,0,41,225,0,1130,82%,21%,-100%,
02/11/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,950",261.74,100.00%,207,0,0,207,0,1240,100%,23%,-100%,
02/12/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,789",223.49,100.00%,228,0,0,228,0,1330,100%,25%,-100%,
02/13/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,055",166.43,100.00%,224,0,0,224,0,1390,100%,26%,-100%,
02/14/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,762",156.76,100.00%,250,0,0,250,0,1390,100%,26%,-100%,
02/15/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,762",123.84,100.00%,230,0,0,230,0,1370,100%,26%,-100%,
02/16/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,613",184.78,100.00%,239,0,0,239,0,1480,100%,28%,-100%,
02/17/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,006",263.56,100.00%,233,0,0,233,0,1430,100%,27%,-100%,
02/18/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,334",142.69,100.00%,221,0,0,221,0,1190,100%,22%,-100%,
02/19/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,303",174.59,100.00%,186,0,0,186,0,830,100%,16%,-100%,
02/20/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,932",129.46,100.00%,215,0,0,215,0,1260,100%,24%,-100%,
02/21/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,399",177.76,100.00%,231,0,0,231,0,1280,100%,24%,-100%,
02/22/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,616",217.80,100.00%,163,0,0,163,0,760,100%,14%,-100%,
02/23/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,462",179.83,100.00%,236,0,0,236,0,1340,100%,25%,-100%,
02/24/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,787",58.83,100.00%,222,0,0,222,0,1280,100%,24%,-100%,
02/25/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,366",209.58,100.00%,236,0,0,236,0,1360,100%,25%,-100%,
02/26/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,779",256.10,100.00%,232,0,0,232,0,1340,100%,25%,-100%,
02/27/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,541",116.58,100.00%,230,0,0,230,0,1310,100%,25%,-100%,
02/28/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,767",58.18,100.00%,220,0,0,220,0,1230,100%,23%,-100%,
02/29/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,823",224.61,100.00%,239,0,0,239,0,1380,100%,26%,-100%,
03/01/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,271",272.30,100.00%,214,0,0,214,0,1310,100%,25%,-100%,
03/02/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,459",146.81,100.00%,207,0,0,207,0,1000,100%,19%,-100%,
03/03/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,822",125.83,100.00%,252,0,0,252,0,1510,100%,28%,-100%,
03/04/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,402",144.93,100.00%,192,0,265.2,457.2,60,7521,42%,141%,-100%,
03/05/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,098",134.92,100.00%,250,0,0,250,0,157,100%,3%,-100%,
03/06/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,019",165.23,100.00%,276,0,0,276,0,159,100%,3%,-100%,
03/07/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,804",256.93,100.00%,218,0,1,219,0,136,100%,3%,-100%,
03/08/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,529",182.04,100.00%,289,0,0,289,0,183,100%,3%,-100%,
03/09/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,259",173.14,100.00%,301,0,0.3,301.3,0,189,100%,4%,-100%,
03/10/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,448",179.35,100.00%,274,0,0,274,0,198,100%,4%,-100%,
03/11/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,400",243.62,100.00%,226,0,0,226,0,157,100%,3%,-100%,
03/12/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,234",139.38,100.00%,200,0,0,200,0,141,100%,3%,-100%,
03/13/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,962",163.35,100.00%,123,0,0,123,0,73,100%,1%,-100%,
03/14/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,631",185.39,100.00%,295,0,0,295,0,86,100%,2%,-100%,
03/15/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,504",279.95,100.00%,294,0,0,294,0,187,100%,4%,-100%,
03/16/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,091",200.53,100.00%,275,0,0,275,0,188,100%,4%,-100%,
03/17/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,043",198.93,100.00%,323,0,0,323,0,182,100%,3%,-100%,
03/18/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,267",41.70,100.00%,304,0,0,304,0,203,100%,4%,-100%,
03/19/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,389",144.50,100.00%,315,0,0,315,0,218,100%,4%,-100%,
03/20/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,772",288.80,100.00%,381,0,0,381,0,250,100%,5%,-100%,
03/21/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,953",163.05,100.00%,414,0,0,414,0,285,100%,5%,-100%,
03/22/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,581",216.66,100.00%,416,0,0,416,0,309,100%,6%,-100%,
03/23/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,498",279.78,100.00%,401,0,0,401,0,301,100%,6%,-100%,
03/24/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,092",200.57,100.00%,423,0,0,423,0,328,100%,6%,-100%,
03/25/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,561",117.22,100.00%,466,0,0,466,0,322,100%,6%,-100%,
03/26/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,778",190.23,100.00%,469,0,0,469,0,357,100%,7%,-100%,
03/27/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,641",86.94,100.00%,525,0,0,525,0,373,100%,7%,-100%,
03/28/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,221",171.89,100.00%,539,0,0,539,0,393,100%,7%,-100%,
03/29/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,180",137.60,100.00%,519,0,0,519,0,415,100%,8%,-100%,
03/30/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,077",200.06,100.00%,551,0,0,551,0,412,100%,8%,-100%,
03/31/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,078",167.19,100.00%,498,0,0,498,0,423,100%,8%,-100%,
04/01/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,633",185.46,100.00%,513,0,0,513,0,365,100%,7%,-100%,
04/02/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,971",229.50,100.00%,538,0,0,538,0,400,100%,7%,-100%,
04/03/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,455",113.75,100.00%,528,0,0,528,0,416,100%,8%,-100%,
04/04/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,163",202.90,100.00%,554,0,0,554,0,416,100%,8%,-100%,
04/05/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,024",231.25,100.00%,552,0,0,552,0,423,100%,8%,-100%,
04/06/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,061",166.62,100.00%,531,0,0,531,0,422,100%,8%,-100%,
04/07/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,727",254.40,100.00%,563,0,0,563,0,417,100%,8%,-100%,
04/08/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,925",195.07,100.00%,552,0,0,552,0,436,100%,8%,-100%,
04/09/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,081",233.11,100.00%,575,0,0,575,0,433,100%,8%,-100%,
04/10/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,860",127.07,100.00%,567,0,0,567,0,438,100%,8%,-100%,
04/11/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,996",296.17,100.00%,580,0,0,580,0,444,100%,8%,-100%,
04/12/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,977",196.76,100.00%,532,0,0,532,0,442,100%,8%,-100%,
04/13/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,818",224.46,100.00%,600,0,0,600,0,443,100%,8%,-100%,
04/14/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,954",130.17,100.00%,569,0,0,569,0,442,100%,8%,-100%,
04/15/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,697",187.57,100.00%,596,0,0,596,0,448,100%,8%,-100%,
04/16/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,480",246.24,100.00%,576,0,0,576,0,459,100%,9%,-100%,
04/17/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,578",150.70,100.00%,578,0,0,578,0,454,100%,9%,-100%,
04/18/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,492",147.89,100.00%,511,0,0,511,0,469,100%,9%,-100%,
04/19/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,584",117.99,100.00%,617,0,0,617,0,385,100%,7%,-100%,
04/20/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,233",139.36,100.00%,624,0,0,624,0,484,100%,9%,-100%,
04/21/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,412",211.10,100.00%,610,0,0,610,0,498,100%,9%,-100%,
04/22/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,526",50.24,100.00%,596,0,0,596,0,487,100%,9%,-100%,
04/23/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,893",194.02,100.00%,651,0,0,651,0,491,100%,9%,-100%,
04/24/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,850",225.51,100.00%,628,0,0,628,0,495,100%,9%,-100%,
04/25/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,412",211.09,100.00%,627,0,0,627,0,493,100%,9%,-100%,
04/26/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,415",145.36,100.00%,625,0,0,625,0,498,100%,9%,-100%,
04/27/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,678",154.00,100.00%,627,0,0,627,0,496,100%,9%,-100%,
04/28/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,864",160.14,100.00%,631,0,0,631,0,485,100%,9%,-100%,
04/29/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,963",97.56,100.00%,646,0,0,646,0,510,100%,10%,-100%,
04/30/2020,2020,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,310",174.80,100.00%,607,0,0,607,0,511,100%,10%,-100%,
05/01/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,925",227.99,100.00%,616,0,0,616,0,474,100%,9%,-100%,
05/02/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,062",100.82,100.00%,642,0,0,642,0,490,100%,9%,-100%,
05/03/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,581",183.72,100.00%,615,0,0,615,0,503,100%,9%,-100%,
05/04/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,824",224.66,100.00%,632,0,0,632,0,495,100%,9%,-100%,
05/05/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,359",176.43,100.00%,635,0,0,635,0,502,100%,9%,-100%,
05/06/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,071",199.87,100.00%,623,0,0,623,0,505,100%,9%,-100%,
05/07/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,888",193.84,100.00%,639,0,0,639,0,492,100%,9%,-100%,
05/08/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,473",278.93,100.00%,632,0,0,632,0,513,100%,10%,-100%,
05/09/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,326",241.19,100.00%,663,0,0,663,0,510,100%,10%,-100%,
05/10/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,974",130.84,100.00%,635,0,0,635,0,534,100%,10%,-100%,
05/11/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,474",147.28,100.00%,691,0,0,691,0,544,100%,10%,-100%,
05/12/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,000",131.69,100.00%,656,0,0,656,0,529,100%,10%,-100%,
05/13/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,407",145.08,100.00%,698,0,0,698,0,546,100%,10%,-100%,
05/14/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,495",180.91,100.00%,669,0,0,669,0,546,100%,10%,-100%,
05/15/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,662",186.39,100.00%,662,0,0,662,0,531,100%,10%,-100%,
05/16/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,205",204.29,100.00%,692,0,0,692,0,538,100%,10%,-100%,
05/17/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,868",160.25,100.00%,663,0,0,663,0,557,100%,10%,-100%,
05/18/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,628",251.14,100.00%,660,0,0,660,0,528,100%,10%,-100%,
05/19/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,941",162.68,100.00%,685,0,0,685,0,541,100%,10%,-100%,
05/20/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,028",198.44,100.00%,689,0,0,689,0,553,100%,10%,-100%,
05/21/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,768",156.97,100.00%,695,0,0,695,0,544,100%,10%,-100%,
05/22/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,849",225.49,100.00%,661,0,0,661,0,559,100%,10%,-100%,
05/23/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,908",260.33,100.00%,699,0,0,699,0,532,100%,10%,-100%,
05/24/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,287",272.82,100.00%,649,0,0,649,0,554,100%,10%,-100%,
05/25/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,982",196.95,100.00%,718,0,0,718,0,528,100%,10%,-100%,
05/26/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,152",235.45,100.00%,674,0,0,674,0,573,100%,11%,-100%,
05/27/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,135",234.88,100.00%,704,0,0,704,0,546,100%,10%,-100%,
05/28/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,392",243.35,100.00%,701,0,0,701,0,564,100%,11%,-100%,
05/29/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,545",215.48,100.00%,698,0,0,698,0,577,100%,11%,-100%,
05/30/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,813",257.21,100.00%,703,0,0,703,0,570,100%,11%,-100%,
05/31/2020,2020,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,904",260.21,100.00%,678,0,0,678,0,563,100%,11%,-100%,
06/01/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,866",258.97,100.00%,878,0,0,878,0,584,100%,11%,-100%,
06/02/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,804",256.93,100.00%,911,0,0,911,0,733,100%,14%,-100%,
06/03/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,574",249.34,100.00%,911,0,0,911,0,783,100%,15%,-100%,
06/04/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,418",211.30,100.00%,"1,003",0,0,"1,003",0,869,100%,16%,-100%,
06/05/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,889",259.72,100.00%,"1,094",0,0,"1,094",0,913,100%,17%,-100%,
06/06/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,308",273.50,100.00%,"1,057",0,0,"1,057",0,887,100%,17%,-100%,
06/07/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,926",195.09,100.00%,"1,055",0,0,"1,055",0,898,100%,17%,-100%,
06/08/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,257",140.14,100.00%,"1,090",0,0,"1,090",0,895,100%,17%,-100%,
06/09/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,957",196.12,100.00%,"1,034",0,0,"1,034",0,879,100%,16%,-100%,
06/10/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,486",81.83,100.00%,"1,002",0,0,"1,002",0,903,100%,17%,-100%,
06/11/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,070",68.14,100.00%,"1,153",0,0,"1,153",0,920,100%,17%,-100%,
06/12/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,732",221.64,100.00%,"1,107",0,0,"1,107",0,914,100%,17%,-100%,
06/13/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,250",205.77,100.00%,"1,064",0,0,"1,064",0,900,100%,17%,-100%,
06/14/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,340",142.88,100.00%,"1,098",0,0,"1,098",0,922,100%,17%,-100%,
06/15/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,522",214.72,100.00%,"1,094",0,0,"1,094",0,911,100%,17%,-100%,
06/16/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,231",205.15,100.00%,"1,104",0,0,"1,104",0,923,100%,17%,-100%,
06/17/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,470",245.93,100.00%,"1,125",0,0,"1,125",0,921,100%,17%,-100%,
06/18/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,470",147.15,100.00%,"1,093",0,0,"1,093",0,876,100%,16%,-100%,
06/19/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,482",147.56,100.00%,"1,052",0,0,"1,052",0,894,100%,17%,-100%,
06/20/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,287",174.06,100.00%,"1,073",0,0,"1,073",0,893,100%,17%,-100%,
06/21/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,057",133.57,100.00%,"1,085",0,0,"1,085",0,925,100%,17%,-100%,
06/22/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,267",74.62,100.00%,"1,100",0,0,"1,100",0,934,100%,18%,-100%,
06/23/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,658",153.34,100.00%,"1,133",0,0,"1,133",0,929,100%,17%,-100%,
06/24/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,241",205.48,100.00%,"1,073",0,0,"1,073",0,909,100%,17%,-100%,
06/25/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,276",239.53,100.00%,"1,073",0,0,"1,073",0,901,100%,17%,-100%,
06/26/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,766",123.97,100.00%,"1,105",0,0,"1,105",0,911,100%,17%,-100%,
06/27/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,481",180.44,100.00%,"1,055",0,0,"1,055",0,912,100%,17%,-100%,
06/28/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,524",181.86,100.00%,"1,094",0,0,"1,094",0,927,100%,17%,-100%,
06/29/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,187",269.53,100.00%,"1,082",0,0,"1,082",0,907,100%,17%,-100%,
06/30/2020,2020,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,139",235.03,100.00%,"1,092",0,0,"1,092",0,931,100%,17%,-100%,
07/01/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,327",175.38,100.00%,"1,047",0,0,"1,047",0,865,100%,16%,-100%,
07/02/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,279",206.72,100.00%,1074,0,0,1074,0,875,100%,16%,-100%,
07/03/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,441",212.06,100.00%,991,0,0,991,0,818,100%,15%,-100%,
07/04/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,770",222.89,100.00%,951,0,0,951,0,800,100%,15%,-100%,
07/05/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,158",202.74,100.00%,979,0,0,979,0,825,100%,15%,-100%,
07/06/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,417",112.48,100.00%,995,0,0,995,0,863,100%,16%,-100%,
07/07/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,778",157.29,100.00%,"1,080",0,0,"1,080",0,915,100%,17%,-100%,
07/08/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,007",230.69,100.00%,"1,090",0,0,"1,090",0,935,100%,18%,-100%,
07/09/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,402",243.67,100.00%,"1,125",0,0,"1,125",0,945,100%,18%,-100%,
07/10/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,686",187.18,100.00%,"1,128",0,0,"1,128",0,949,100%,18%,-100%,
07/11/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,835",225.02,100.00%,"1,102",0,0,"1,102",0,935,100%,18%,-100%,
07/12/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,888",226.78,100.00%,"1,130",0,0,"1,130",0,948,100%,18%,-100%,
07/13/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,715",155.24,100.00%,"1,073",0,0,"1,073",0,950,100%,18%,-100%,
07/14/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,180",71.77,100.00%,"1,158",0,0,"1,158",0,948,100%,18%,-100%,
07/15/2020,2020,7,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,630",152.44,100.00%,"1,098",0,0,"1,098",0,940,100%,18%,-100%,
